nr;mapping;LOC;clin_patho;UICC_vers;TNM_T;TNM_N;TNM_M;Grad;UICC_stage
1039;original;Pancreas;p;8;is;0;0;;0
1040;original;Pancreas;p;8;1;0;0;;IA
1041;original;Pancreas;p;8;2;0;0;;IB
1042;original;Pancreas;p;8;3;0;0;;IIA
1043;original;Pancreas;p;8;1;1;0;;IIB
1044;original;Pancreas;p;8;2;1;0;;IIB
1045;original;Pancreas;p;8;3;1;0;;IIB
1046;original;Pancreas;p;8;1;2;0;;III
1047;original;Pancreas;p;8;2;2;0;;III
1048;original;Pancreas;p;8;3;2;0;;III
1049;original;Pancreas;p;8;4;*;0;;III
1050;original;Pancreas;p;8;*;*;1;;IV
547;original;Stomach;c;8;1;0;0;;I
549;original;Stomach;c;8;2;0;0;;I
551;original;Stomach;c;8;1;1;0;;IIA
553;original;Stomach;c;8;2;1;0;;IIA
555;original;Stomach;c;8;1;2;0;;IIA
557;original;Stomach;c;8;2;2;0;;IIA
559;original;Stomach;c;8;1;3;0;;IIA
561;original;Stomach;c;8;2;3;0;;IIA
563;original;Stomach;c;8;3;0;0;;IIB
565;original;Stomach;c;8;4a;0;0;;IIB
567;original;Stomach;c;8;3;1;0;;III
569;original;Stomach;c;8;4a;1;0;;III
571;original;Stomach;c;8;3;2;0;;III
573;original;Stomach;c;8;4a;2;0;;III
575;original;Stomach;c;8;3;3;0;;III
577;original;Stomach;c;8;4a;3;0;;III
579;original;Stomach;c;8;4b;*;0;;IVA
581;original;Stomach;c;8;*;*;1;;IVB
669;original;Stomach;p;8;is;0;0;;0
671;original;Stomach;p;8;1;0;0;;IA
673;original;Stomach;p;8;2;0;0;;IB
675;original;Stomach;p;8;1;1;0;;IB
677;original;Stomach;p;8;3;0;0;;IIA
679;original;Stomach;p;8;2;1;0;;IIA
681;original;Stomach;p;8;1;2;0;;IIA
683;original;Stomach;p;8;4a;0;0;;IIB
685;original;Stomach;p;8;3;1;0;;IIB
687;original;Stomach;p;8;2;2;0;;IIB
689;original;Stomach;p;8;1;3a;0;;IIB
691;original;Stomach;p;8;4b;0;0;;IIIA
693;original;Stomach;p;8;4a;1;0;;IIIA
695;original;Stomach;p;8;3;2;0;;IIIA
697;original;Stomach;p;8;4a;2;0;;IIIA
699;original;Stomach;p;8;2;3a;0;;IIIA
701;original;Stomach;p;8;4b;1;0;;IIIB
703;original;Stomach;p;8;4b;2;0;;IIIB
705;original;Stomach;p;8;3;3a;0;;IIIB
707;original;Stomach;p;8;4a;3a;0;;IIIB
709;original;Stomach;p;8;1;3b;0;;IIIB
711;original;Stomach;p;8;2;3b;0;;IIIB
713;original;Stomach;p;8;4b;3a;0;;IIIC
715;original;Stomach;p;8;3;3b;0;;IIIC
717;original;Stomach;p;8;4a;3b;0;;IIIC
719;original;Stomach;p;8;4b;3b;0;;IIIC
721;original;Stomach;p;8;*;*;1;;IV
548;additional;C16.0noSiewert;c;8;1;0;0;;I
550;additional;C16.0noSiewert;c;8;2;0;0;;I
552;additional;C16.0noSiewert;c;8;1;1;0;;IIA
554;additional;C16.0noSiewert;c;8;2;1;0;;IIA
556;additional;C16.0noSiewert;c;8;1;2;0;;IIA
558;additional;C16.0noSiewert;c;8;2;2;0;;IIA
560;additional;C16.0noSiewert;c;8;1;3;0;;IIA
562;additional;C16.0noSiewert;c;8;2;3;0;;IIA
564;additional;C16.0noSiewert;c;8;3;0;0;;IIB
566;additional;C16.0noSiewert;c;8;4a;0;0;;IIB
568;additional;C16.0noSiewert;c;8;3;1;0;;III
570;additional;C16.0noSiewert;c;8;4a;1;0;;III
572;additional;C16.0noSiewert;c;8;3;2;0;;III
574;additional;C16.0noSiewert;c;8;4a;2;0;;III
576;additional;C16.0noSiewert;c;8;3;3;0;;III
578;additional;C16.0noSiewert;c;8;4a;3;0;;III
580;additional;C16.0noSiewert;c;8;4b;*;0;;IVA
582;additional;C16.0noSiewert;c;8;*;*;1;;IVB
670;additional;C16.0noSiewert;p;8;is;0;0;;0
672;additional;C16.0noSiewert;p;8;1;0;0;;IA
674;additional;C16.0noSiewert;p;8;2;0;0;;IB
676;additional;C16.0noSiewert;p;8;1;1;0;;IB
678;additional;C16.0noSiewert;p;8;3;0;0;;IIA
680;additional;C16.0noSiewert;p;8;2;1;0;;IIA
682;additional;C16.0noSiewert;p;8;1;2;0;;IIA
684;additional;C16.0noSiewert;p;8;4a;0;0;;IIB
686;additional;C16.0noSiewert;p;8;3;1;0;;IIB
688;additional;C16.0noSiewert;p;8;2;2;0;;IIB
690;additional;C16.0noSiewert;p;8;1;3a;0;;IIB
692;additional;C16.0noSiewert;p;8;4b;0;0;;IIIA
694;additional;C16.0noSiewert;p;8;4a;1;0;;IIIA
696;additional;C16.0noSiewert;p;8;3;2;0;;IIIA
698;additional;C16.0noSiewert;p;8;4a;2;0;;IIIA
700;additional;C16.0noSiewert;p;8;2;3a;0;;IIIA
702;additional;C16.0noSiewert;p;8;4b;1;0;;IIIB
704;additional;C16.0noSiewert;p;8;4b;2;0;;IIIB
706;additional;C16.0noSiewert;p;8;3;3a;0;;IIIB
708;additional;C16.0noSiewert;p;8;4a;3a;0;;IIIB
710;additional;C16.0noSiewert;p;8;1;3b;0;;IIIB
712;additional;C16.0noSiewert;p;8;2;3b;0;;IIIB
714;additional;C16.0noSiewert;p;8;4b;3a;0;;IIIC
716;additional;C16.0noSiewert;p;8;3;3b;0;;IIIC
718;additional;C16.0noSiewert;p;8;4a;3b;0;;IIIC
720;additional;C16.0noSiewert;p;8;4b;3b;0;;IIIC
722;additional;C16.0noSiewert;p;8;*;*;1;;IV
